WH_train_328	4	12	true	0.0/-49.0/Exploitation(Set(country),Set(nature, documentary))	0.0/-49.0/Exploitation(Set(film),Set(bear, country))	0.0/-49.0/Exploitation(Set(film, series),Set(disney))	0.0/-145.0/Exploitation(Set(film),Set(james, algar))
WH_train_612	2	13	true	0.0/-49.0/Exploitation(Set(station),Set(electric, power, transmission))	0.0/-145.0/Exploitation(Set(power),Set(voltage))
WH_train_619	2	3	true	0.0/-49.0/Exploitation(Set(idol),Set(nova, tv))	0.0/-145.0/Exploitation(Set(austria),Set(patrick, jurdi))
WH_train_640	2	37	true	0.0/-49.0/Exploitation(Set(dead),Set(english))	0.0/-145.0/ExplorationDouble(Set(film),Set(marie, france))
WH_train_958	2	6	true	0.0/-49.0/Exploitation(Set(baby),Set(emi))	0.0/-145.0/Exploitation(Set(album),Set(song))
WH_train_961	2	45	true	0.0/-49.0/Exploitation(Set(747),Set(boeing, commercial, airplanes))	0.0/-145.0/ExplorationDouble(Set(aircraft),Set(design, feature))
WH_train_995	2	16	true	0.0/-49.0/Exploitation(Set(muris),Set(latin))	0.0/-145.0/ExplorationDouble(Set(ar),Set(term))
WH_train_1043	2	9	true	0.0/-49.0/Exploitation(Set(jujiro),Set(silent, film))	0.0/-145.0/Exploitation(Set(career),Set(film))
WH_train_1102	2	67	true	0.0/-49.0/Exploitation(Set(austria-hungary),Set(constitutional, monarchy))	0.0/-145.0/Exploitation(Set(austria),Set(hungary))
WH_train_1110	2	47	true	0.0/-49.0/Exploitation(Set(trucker),Set(reality, television))	0.0/-145.0/ExplorationDouble(Set(show),Set(trucker, makeover))
WH_train_1208	2	103	true	0.0/-49.0/ExplorationDouble(Set(kayw),Set(2000))	0.0/-145.0/ExplorationDouble(Set(united, states, census),Set(film))
WH_train_1218	2	7	true	0.0/-49.0/Exploitation(Set(ilkorin),Set(fictional, language))	0.0/-145.0/ExplorationDouble(Set(beleriand),Set(dialect))
WH_train_1306	2	2	true	0.0/-49.0/Exploitation(Set(arsenite),Set(chemical, compound))	0.0/-145.0/Exploitation(Set(arsenite),Set(ortho-arsenite))
WH_train_1513	2	4	true	0.0/-49.0/Exploitation(Set(buganda),Set(baganda))	0.0/-145.0/Exploitation(Set(uganda),Set(kampala))
WH_train_1569	5	16	true	0.0/-49.0/Exploitation(Set(little),Set(autumn, records))	0.0/-49.0/Exploitation(Set(beau, brummels),Set(singles))	0.0/-49.0/Exploitation(Set(band),Set(beau, brummels))	0.0/-49.0/ExplorationDouble(Set(sal, valentino),Set(chart))	0.0/-145.0/Exploitation(Set(band),Set(song))
WH_train_1699	2	5	true	0.0/-49.0/Exploitation(Set(tutti),Set(kingston, upon, hull))	0.0/-145.0/ExplorationDouble(Set(genesis, p-orridge),Set(sound))
WH_train_1830	2	6	true	0.0/-49.0/Exploitation(Set(assault),Set(shigeru, miyamoto))	0.0/-145.0/ExplorationDouble(Set(give, miyamoto),Set(fox))
WH_train_1843	2	2	true	0.0/-49.0/Exploitation(Set(automator),Set(san, francisco))	0.0/-145.0/Exploitation(Set(crudo),Set(automator))
WH_train_1891	2	102	true	0.0/-49.0/ExplorationDouble(Set(pistolette),Set(united, states, of, america))	0.0/-145.0/ExplorationDouble(Set(southern, united, states),Set(united, association, cricket, america, states))
WH_train_1984	2	5	true	0.0/-49.0/Exploitation(Set(earle),Set(united, states, representative))	0.0/-145.0/Exploitation(Set(south, carolina),Set(u.s.))
WH_train_2020	2	2	true	0.0/-49.0/Exploitation(Set(edition),Set(atari))	0.0/-145.0/Exploitation(Set(video, game),Set(rights))
WH_train_2061	2	73	true	0.0/-49.0/ExplorationDouble(Set(57),Set(beggars, banquet, records))	0.0/-145.0/ExplorationDouble(Set(band, member),Set(studio, album))
WH_train_2141	2	3	true	0.0/-49.0/Exploitation(Set(milot),Set(kurbin, district))	0.0/-145.0/ExplorationDouble(Set(kuqe),Set(fush))
WH_train_2277	2	10	true	0.0/-49.0/Exploitation(Set(hearts),Set(book))	0.0/-145.0/ExplorationDouble(Set(pepper),Set(time))
WH_train_2371	2	3	true	0.0/-49.0/Exploitation(Set(urchin),Set(species))	0.0/-145.0/Exploitation(Set(sea, urchin),Set(urchin))
WH_train_2641	2	2	true	0.0/-49.0/Exploitation(Set(wall),Set(gotland, municipality))	0.0/-145.0/Exploitation(Set(visby),Set(scandinavia))
WH_train_2682	2	15	true	0.0/-49.0/Exploitation(Set(hall),Set(officer))	0.0/-145.0/ExplorationDouble(Set(house),Set(forrest, griffin))
WH_train_2721	2	10	true	0.0/-49.0/Exploitation(Set(daimler-benz),Set(stuttgart))	0.0/-145.0/Exploitation(Set(daimler),Set(mercedes-benz))
