WH_train_2548	10	46	false	0.0/-49.0/ExplorationDouble(Set(jishi),Set(kuomintang))	0.0/-49.0/ExplorationDouble(Set(military),Set(chinese, nationalist))	0.0/-49.0/Exploitation(Set(suiyuan, campaign),Set(kuomintang))	0.0/-49.0/ExplorationDouble(Set(wenjiashi),Set(zhili))	0.0/-49.0/ExplorationDouble(Set(power),Set(army, general, staff))	0.0/-49.0/ExplorationDouble(Set(invasion),Set(commandant))	0.0/-49.0/ExplorationDouble(Set(career),Set(thousand))	0.0/-49.0/Exploitation(Set(politics),Set(kuomintang))	0.0/-49.0/ExplorationDouble(Set(jing, wigu),Set(ccp))	0.0/-149.0/ExplorationDouble(Set(commander),Set(zhu, de))
WH_train_2554	1	62	true	0.0/-149.5/ExplorationDouble(Set(turnover),Set(extinction, event))
WH_train_2559	1	102	true	0.0/-148.0/ExplorationDouble(Set(satrom),Set(democratic, party))
WH_train_2574	1	2	true	0.0/-146.5/Exploitation(Set(park),Set(the, americas))
WH_train_2581	1	101	true	0.0/-146.5/ExplorationDouble(Set(illustrators),Set(person))
WH_train_2588	1	103	true	0.0/-143.5/ExplorationDouble(Set(kanwal),Set(actor))
WH_train_2646	1	100	true	0.0/-143.5/ExplorationDouble(Set(keonjhar),Set(odisha))
WH_train_2661	1	93	true	0.0/-143.5/ExplorationDouble(Set(brockovich),Set(for, best, award, academy, actress))
WH_train_2672	1	4	true	0.0/-148.0/ExplorationDouble(Set(aulum),Set(herning, municipality))
WH_train_2673	1	100	true	0.0/-146.5/ExplorationDouble(Set(opel),Set(engineer))
WH_train_2680	1	89	true	0.0/-139.0/ExplorationDouble(Set(castle),Set(edward, i, of, england))
WH_train_2688	1	40	true	0.0/-146.5/ExplorationDouble(Set(zeitoper),Set(weimar, republic))
WH_train_2690	1	4	true	0.0/-149.5/ExplorationDouble(Set(beyeler),Set(riehen))
WH_train_2691	2	14	true	0.0/-50.5/Exploitation(Set(eriksberg),Set(gothenburg, municipality))	0.0/-149.5/ExplorationDouble(Set(eriksberg),Set(gothenburg, municipality))
WH_train_2692	1	101	true	0.0/-145.0/ExplorationDouble(Set(pond),Set(lake))
WH_train_2701	1	64	true	0.0/-148.0/ExplorationDouble(Set(waal),Set(rugby, union, player))
WH_train_2717	1	19	true	0.0/-148.0/ExplorationDouble(Set(tang),Set(de, la, salle, university))
WH_train_2728	1	78	true	0.0/-148.0/ExplorationDouble(Set(habarana),Set(north, central, province))
WH_train_2739	10	103	false	0.0/-49.0/ExplorationDouble(Set(bay),Set(gwynedd))	0.0/-49.0/ExplorationDouble(Set(new, guinea),Set(example, location))	0.0/-49.0/Exploitation(Set(greenland),Set(gwynedd))	0.0/-49.0/ExplorationDouble(Set(navy),Set(horseshoe, island))	0.0/-49.0/ExplorationDouble(Set(duffy),Set(thule, harbor))	0.0/-49.0/ExplorationDouble(Set(access),Set(dolgellau))	0.0/-49.0/ExplorationDouble(Set(snowdon),Set(gellilydan))	0.0/-49.0/Exploitation(Set(distinguish),Set(gwynedd))	0.0/-49.0/Exploitation(Set(harbour, town),Set(gwynedd))	0.0/-149.0/ExplorationDouble(Set(council),Set(marinduque))
WH_train_2757	1	36	true	0.0/-145.0/Exploitation(Set(church),Set(united, states, of, america))
WH_train_2776	1	101	true	0.0/-148.0/ExplorationDouble(Set(euroclear),Set(brussels))
WH_train_2780	1	100	true	0.0/-143.5/ExplorationDouble(Set(manila),Set(ermita))
WH_train_2785	2	25	true	0.0/-50.5/Exploitation(Set(vovousa),Set(epirus, region))	0.0/-149.5/ExplorationDouble(Set(vovousa),Set(epirus, region))
WH_train_2807	1	109	true	0.0/-142.0/ExplorationDouble(Set(east),Set(gateshead))
WH_train_2815	1	100	true	0.0/-146.5/ExplorationDouble(Set(wfnx),Set(lynn))
WH_train_2819	1	104	true	0.0/-146.5/ExplorationDouble(Set(channel),Set(strait))
WH_train_2822	1	98	true	0.0/-145.0/ExplorationDouble(Set(stadium),Set(rugby, football, union))
WH_train_2829	1	11	true	0.0/-148.0/ExplorationDouble(Set(tenby),Set(haverfordwest))
WH_train_2845	1	12	true	0.0/-146.5/ExplorationDouble(Set(ulfat),Set(pashtun, people))
WH_train_2849	1	102	true	0.0/-146.5/ExplorationDouble(Set(columbia),Set(washington))
WH_train_2858	10	106	false	0.0/-49.0/ExplorationDouble(Set(rock),Set(island))	0.0/-49.0/ExplorationDouble(Set(pandora, reef),Set(wreck))	0.0/-49.0/ExplorationDouble(Set(cay),Set(nesvik))	0.0/-49.0/Exploitation(Set(kansas),Set(island))	0.0/-49.0/ExplorationDouble(Set(islet),Set(resort))	0.0/-49.0/ExplorationDouble(Set(%),Set(st., lawrence))	0.0/-49.0/ExplorationDouble(Set(sister, formation),Set(gozo))	0.0/-49.0/ExplorationDouble(Set(sister, formation),Set(jacknife, lee))	0.0/-49.0/ExplorationDouble(Set(abbey, road, studios),Set(malpelo))	0.0/-149.0/Exploitation(Set(project),Set(island))
WH_train_2873	1	16	true	0.0/-139.0/ExplorationDouble(Set(venetiaan),Set(paramaribo))
WH_train_2892	1	102	true	0.0/-139.0/ExplorationDouble(Set(man),Set(short, story))
WH_train_2903	1	9	true	0.0/-143.5/ExplorationDouble(Set(lindeberg),Set(alna))
WH_train_2908	1	6	true	0.0/-146.5/ExplorationDouble(Set(tikhonov),Set(hc, dynamo, moscow))
WH_train_2909	1	12	true	0.0/-149.5/ExplorationDouble(Set(boussemghoun),Set(municipality, of, algeria))
